product_id, product_name
1,Organic Cotton Men's T-Shirt
2,Recycled Denim Jeans
3,Women's Eco-Friendly Dress
4,Organic Men's Jacket
5,Recycled Sneakers
6,Sustainable Sun Hat
7,Organic Cotton Women's T-Shirt
8,Recycled Men's Jeans
9,Sustainable Women's Blouse
10,Recycled Men's Jacket
11,Bamboo Fiber Men's Polo Shirt
12,Recycled Women's Skirt
13,Organic Hemp Shoes
14,Sustainable Men's Cardigan
15,Recycled PET Backpack
16,Sustainable Linen Women's Pants
17,Recycled Men's Hoodie
18,Organic Cotton Women's Sweater
19,Bamboo Fiber Men's Shorts
20,Recycled Women's Sweater
21,Recycled PET Women's Jacket
22,Organic Linen Men's Shirt
23,Sustainable Women's Sandals
24,Recycled Men's Belt
25,Organic Cotton Women's Blouse
26,Recycled Denim Women's Jacket
27,Sustainable Men's Beanie
28,Organic Linen Women's Pants
29,Bamboo Fiber Women's T-Shirt
30,Recycled PET Men's Backpack
31,Organic Hemp Women's Sandals
32,Sustainable Men's Swim Shorts
33,Recycled PET Women's Bag
34,Organic Linen Men's Shorts
35,Sustainable Women's Scarf
36,Recycled Men's Backpack
37,Bamboo Fiber Women's Leggings
38,Recycled PET Men's Hat
39,Organic Hemp Women's T-Shirt
40,Sustainable Men's Sunglasses
41,Organic Cotton Men's Chinos
42,Recycled PET Women's Backpack
43,Sustainable Men's Button-Up Shirt
44,Recycled Women's Backpack
45,Organic Hemp Men's Shorts
46,Sustainable Women's Belt
47,Recycled Men's Trousers
48,Bamboo Fiber Women's Tank Top
49,Recycled PET Men's Sandals
50,Organic Linen Women's Jumpsuit
51,Recycled Men's Blazer
52,Sustainable Women's Sunglasses
53,Organic Cotton Men's Polo Shirt
54,Recycled PET Women's Hat
55,Sustainable Men's Chinos
56,Recycled Women's Jumpsuit
57,Organic Cotton Women's Leggings
58,Sustainable Men's Sneakers
